brewery_name,brewery_type,neighborhood,cluster,market_signal,saturation_rank,city,state,latitude,longitude,google_rating,google_review_count,craft_beer_total,beer_menu_tier,website_url,data_status
Archetype Brewing,Taproom,West Asheville,Cluster 3: West Asheville,Highly Saturated,2,Asheville,NC,35.57834677,-82.57502036,4.7,442,71.0,Large (30+),http://www.archetypebrewing.com,ACTIVE
Asheville Brewing Co,Brewpub,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.5918439,-82.55536533,4.2,969,13.0,Small (< 15),http://www.ashevillepizza.com,ACTIVE
Ben's Tune Up,Brewpub,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.59154634,-82.5557692,4.4,1524,,Not Listed,http://www.benstuneup.com,ACTIVE
Burial Beer Co. South Slope Taproom,Taproom,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.58827052,-82.55381626,4.7,2181,20.0,Medium (15-29),http://www.burialbeer.com,ACTIVE
Burial Beer Co. Forestry Camp Taproom,Taproom,Biltmore Village,Cluster 2: Biltmore Village,Highly Saturated,2,Asheville,NC,35.56337245,-82.53712284,4.5,509,22.0,Medium (15-29),https://www.burialbeer.com,ACTIVE
French Broad River Brewery,Taproom,Biltmore Village,Cluster 2: Biltmore Village,Highly Saturated,2,Asheville,NC,35.56664842,-82.5373806,4.2,310,12.0,Small (< 15),http://www.frenchbroadbrewery.com,ACTIVE
Green Man Brewery,Brewpub,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.58882965,-82.55254183,4.5,1088,21.0,Medium (15-29),http://www.greenmanbrewery.com,ACTIVE
Hi-Wire Brewing RAD Beer Garden & Distribution Center,Taproom,River Arts District,Cluster 4: River Arts District,Highly Saturated,2,Asheville,NC,35.58287806,-82.56594247,4.8,217,24.0,Medium (15-29),http://www.hiwirebrewing.com,ACTIVE
Hi-Wire Brewing South Slope Brewpub & Gleezy Hot Dogs,Brewpub,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.59139802,-82.55594086,4.4,551,45.0,Large (30+),http://www.hiwirebrewing.com,ACTIVE
Highland Brewing Company,Regional Brewery,East Asheville,Outlier,High Opportunity,4,Asheville,NC,35.57106256,-82.49782192,4.7,1638,13.0,Small (< 15),http://www.highlandbrewing.com,ACTIVE
Hillman Beer,Brewpub,Biltmore Village,Cluster 2: Biltmore Village,Highly Saturated,2,Asheville,NC,35.56526621,-82.53711771,4.7,1241,22.0,Medium (15-29),http://www.hillmanbeer.com,ACTIVE
New Belgium Brewing Co,Regional Brewery,River Arts District,Cluster 4: River Arts District,Highly Saturated,2,Asheville,NC,35.5874257,-82.57155377,4.7,2119,24.0,Medium (15-29),http://www.newbelgium.com,ACTIVE
One World Brewing,Taproom,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.5949577,-82.55220803,4.6,530,10.0,Small (< 15),http://www.oneworldbrewing.com,ACTIVE
Oyster House Brewing Company,Brewpub,West Asheville,Cluster 3: West Asheville,Highly Saturated,2,Asheville,NC,35.57912197,-82.58894399,4.5,457,7.0,Small (< 15),https://www.oysterhousebeers.com/,ACTIVE
Sweeten Creek Brewing,Brewpub,East Asheville,Outlier,High Opportunity,4,Asheville,NC,35.54283816,-82.52203415,4.7,319,8.0,Small (< 15),http://www.sweetencreekbrewing.com,ACTIVE
Thirsty Monk South at Biltmore Park,Brewpub,Biltmore Park,Outlier,Outside Core,5,Asheville,NC,35.48661582,-82.55522773,4.5,536,16.0,Medium (15-29),http://www.monkpub.com,ACTIVE
Twin Leaf Brewery,Taproom,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.58974991,-82.55444655,4.4,519,20.0,Medium (15-29),http://www.twinleafbrewery.com,ACTIVE
Wedge Brewing Co,Taproom,River Arts District,Cluster 4: River Arts District,Highly Saturated,2,Asheville,NC,35.58654048,-82.56655507,4.6,527,15.0,Medium (15-29),http://www.wedgebrewing.com,ACTIVE
White Labs Brewing Co - Asheville Kitchen & Tap,Brewpub,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.59135269,-82.54882984,4.6,767,24.0,Medium (15-29),https://www.whitelabs.com/taproom,ACTIVE
The River Arts District Brewing Company (RAD Brewing Co.),Taproom,River Arts District,Cluster 4: River Arts District,Highly Saturated,2,Asheville,NC,35.5883316,-82.56337477,4.9,130,14.0,Small (< 15),https://theradbrewco.com/,ACTIVE
Wicked Weed Brewing's Brewpub,Brewpub,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.59189466,-82.55102177,4.4,3638,22.0,Medium (15-29),https://www.wickedweedbrewing.com/location/brewpub/,ACTIVE
Wicked Weed Funkatorium,Brewpub,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.58936517,-82.55509328,4.5,1493,32.0,Large (30+),https://www.wickedweedbrewing.com/location/funkatorium/,ACTIVE
The Whale :: South Slope,Taproom,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.5890249,-82.55365561,4.5,22,20.0,Medium (15-29),https://thewhalecollective.com/,ACTIVE
DSSOLVR,Brewpub,South Slope,Cluster 1: South Slope,Hypersaturated,1,Asheville,NC,35.59707446,-82.55347383,4.8,831,25.0,Medium (15-29),https://dssolvr.com/,ACTIVE
Hi-Wire Brewing - Biltmore Village,Brewpub,Biltmore Village,Outlier,Highly Saturated,2,Asheville,NC,35.57096619,-82.54581921,4.7,407,24.0,Medium (15-29),http://www.hiwirebrewing.com,ACTIVE
Cellarest Beer Project,Taproom,West Asheville,Cluster 3: West Asheville,Highly Saturated,2,Asheville,NC,35.57823912,-82.57950069,4.8,157,12.0,Small (< 15),https://cellarestbeer.com/,ACTIVE
Diatribe Brewing Co.,Taproom,West Asheville,Outlier,Highly Saturated,2,Asheville,NC,35.58168491,-82.60428601,4.9,77,19.0,Medium (15-29),https://diatribebrewing.com/,ACTIVE
One World Brewing West,Taproom,West Asheville,Cluster 3: West Asheville,Highly Saturated,2,Asheville,NC,35.57853317,-82.58458954,4.6,251,10.0,Small (< 15),http://www.oneworldbrewing.com,ACTIVE
Ginger's Revenge,Taproom,North Asheville,Outlier,High Opportunity,4,Asheville,NC,35.61472001,-82.5746874,4.8,416,8.0,Small (< 15),https://gingersrevenge.com/location/tasting-room/#on-tap,ACTIVE
All Sevens Brewing,Brewpub,West Asheville,Cluster 3: West Asheville,Highly Saturated,2,Asheville,NC,35.57887276,-82.59416911,4.3,29,16.0,Medium (15-29),https://www.allsevensbrewing.com/,ACTIVE
The Brew Pump,Taproom,West Asheville,Cluster 3: West Asheville,Highly Saturated,2,Asheville,NC,35.57818817,-82.59397958,4.6,222,,Not Listed,https://www.instagram.com/thebrewpump/,ACTIVE
Asheville Pizza & Brewing Co,Brewpub,North Asheville,Outlier,High Opportunity,4,Asheville,NC,35.62227942,-82.55379483,4.5,3267,48.0,Large (30+),https://www.ashevillebrewing.com/,ACTIVE
